Time_(Ma),Seafloor_prod_(km2),Ridge_length_(km),Mean_spreading_rate_(km/Ma)
124,156516.52924027227,3514.05672877069,45.390558929280395
125,178217.01683910657,3493.5885145102798,53.51406896338431
126,152573.95179483853,4036.606203730081,33.19086686201956
127,145414.02288225436,4026.8099696113004,31.449313332773045
128,126841.34944340422,3893.3075520066,25.043467493074637
129,74804.53750537048,3397.3630349857,16.501484454083247
130,77816.59456796174,3333.7302551722996,17.58910393576769
131,125559.81099674167,3188.3743907344,34.073999492300004
132,82840.7728185101,2840.3195249107,21.70528593831166
133,61957.54360405101,2637.9936061199,23.554305508560002
134,61245.97688989654,2643.41962024503,23.19668508328846
135,38550.86469596803,1722.5330000855101,22.48209997912
136,61596.94673927657,2842.25772808347,19.653468144728567
137,50124.202132577506,2784.1602653728996,17.650577544110526
138,50519.2920609284,2741.2118074485,18.728121186724998
139,66878.79392688024,2702.3392101487248,22.573933084842313
140,42628.739017880405,1840.9211607591799,21.981752006107687
141,56166.67803575048,2269.09341170685,22.895062443331035
142,56437.31422456295,2299.0110517225,22.29445379145555
143,72621.94995579531,3063.25835742878,19.85303731874878
144,70290.41496755679,3043.0381329050906,19.4680192422625
145,32067.540508229242,2012.8211131914,11.156848437986298
146,31579.48899547561,1926.2675447829,11.5676936037288
147,18297.48195540271,476.670317972,38.3865815797
148,16867.023728675922,476.6703179709999,35.385779917399994
149,40055.70128167861,1833.3762437597,21.768942281450002
150,40121.76545618112,1837.5109799661998,21.76214030225
151,40169.19461654406,1841.6352784082999,21.74434860152
152,40216.16036951648,1845.749093418,21.72660811307
153,40262.66984227697,1849.8523793519998,21.70892157774
154,40308.73028949698,1853.9450906339998,21.691291731750006
