Time_(Ma),Seafloor_prod_(km2),Ridge_length_(km),Mean_spreading_rate_(km/Ma)
124,85917.9880236192,1777.1445369445,48.53508524827142
125,96040.33554701087,1777.1445369435,54.25302120758572
126,115156.57797671115,1777.1445369449998,65.05171554241429
127,74702.05269305775,1777.1445369433,42.19923045964286
128,74794.90881556249,1777.1445369448998,42.25144201958572
129,75582.23738600373,1777.1445369452,42.69595950389999
130,86248.78385406818,1777.1445369447001,48.622131881885714
131,129023.00673035058,1777.1445368709,72.38922156175715
132,95568.9197632728,1777.1445368754999,53.61704446227144
133,45137.19332663071,1776.3962209897002,25.334263989833335
134,45108.7846487535,1776.396220988,25.31654184255
135,45079.85418604981,1776.3962209879,25.29852835626666
136,54951.7921380507,1776.3962209882002,30.75759606046667
137,85443.00061896059,2297.872299625,37.019860266425
138,84204.77943497631,2297.8722996218,36.50307458605
139,57981.72201038601,1776.3962209879,32.76320871695
140,58015.70411946409,1776.3962210336,32.7797318475
141,85289.17571122377,2385.2573557956002,36.47227288302857
142,85109.16842545272,2379.7497733701002,36.48386825227143
143,53253.77711361831,1511.7415816549,35.28746708671667
144,51709.83182002596,1506.6478220756,34.365397057866666
145,51559.2735882143,1501.8342526597999,34.37800774358333
146,51408.46257537241,1497.0085151443998,34.39073777645
147,124585.83511315144,3064.6455603518,41.282095515775
148,115894.40341342235,3052.5199510994003,38.4943888189625
149,108673.20002088633,4348.0787452595005,25.055252625
150,108286.50781616081,4331.450723334299,25.05688782057273
151,107927.40299021585,4316.527351979799,25.056463809845457
152,107558.45822503175,4301.1984546251,25.056090515545453
153,107182.20206287404,4285.5726091916,25.055757392254545
154,105485.72668571866,4216.7018217951,25.09229304796
