MeanPointLon,MeanPointLat,StartPointLat,StartPointLon,EndPointLat,EndPointLon,Length_km,LeftPlate,RightPlate,PlateID,Time_Ma,Plate_Velocity
146.30433676,-58.1821485557,-58.3699117327,144.815902116,-57.9943853788,147.792771404,179.426566016,801,802,0,10,6.22565466942
150.095882632,-60.8559547208,-60.9573830834,149.53081313,-60.7545263582,150.660952134,65.223686982,801,802,0,10,6.14953790478
155.400049277,-64.4617204981,-64.7243987332,153.932505269,-64.1990422631,156.867593285,152.328563568,801,802,0,10,6.11928109864
161.624227363,-65.3499568116,-65.8977340343,159.275531864,-64.8021795888,163.972922862,249.508541702,801,802,0,10,6.04456878502
146.438413203,-58.5118691145,-58.7041847718,144.938127197,-58.3195534572,147.938699209,179.426566002,801,802,0,11,5.73821215878
150.301099898,-61.1733849699,-61.2767553817,149.731851244,-61.0700145581,150.870348553,65.2236869436,801,802,0,11,5.6577838225
155.724949506,-64.7593378429,-65.0277992648,154.246953021,-64.4908764211,157.20294599,152.328563552,801,802,0,11,5.63318910163
162.031952718,-65.6222335762,-66.1793968709,159.677475644,-65.0650702816,164.386429793,249.03186105,801,802,0,11,5.55606177363
146.602042903,-58.8087283476,-59.0060448908,145.091336041,-58.6114118044,148.112749766,179.426566002,801,802,0,12,5.73788504762
150.536297645,-61.4567045937,-61.5621687268,149.963550108,-61.3512404605,151.109045182,65.2236869434,801,802,0,12,5.65724439355
156.079945857,-65.0212106333,-65.2957816135,154.593704371,-64.7466396531,157.566187344,152.328563552,801,802,0,12,5.63237579696
162.450113087,-65.8609572528,-66.424287578,160.107095508,-65.2976269277,164.793130667,247.099148612,801,802,0,12,5.55507593796
143.427448361,-58.3071872885,-58.4202689614,142.197458969,-58.1941056155,144.657437754,145.882181223,801,802,0,13,5.8027723306
146.771612092,-59.105071649,-59.3074552842,145.250385934,-58.9026880138,148.29283825,179.426566001,801,802,0,13,5.73751947854
150.779124428,-61.7391626203,-61.8467484214,150.202877912,-61.6315768193,151.355370945,65.2236869405,801,802,0,13,5.65666503504
156.445524869,-65.2815778307,-65.5623432832,154.951189451,-65.0008123781,157.939860286,152.328563551,801,802,0,13,5.63152290653
162.879035881,-66.097933345,-66.6672031061,160.548795419,-65.5286635839,165.209276342,245.094463096,801,802,0,13,5.55404939311
143.564409292,-58.6138220545,-58.7306759295,142.324934918,-58.4969681795,144.803883667,145.882181224,801,802,0,14,5.80245404974
146.94727326,-59.4008736801,-59.6083921513,145.415431967,-59.1933552088,148.479114552,179.426566002,801,802,0,14,5.73711552362
151.029779139,-62.0207219998,-62.1304579355,150.450036958,-61.910986064,151.609521319,65.2236869426,801,802,0,14,5.65604583167
156.821955773,-65.5403795403,-65.8274252649,155.319697799,-65.2533338157,158.324213747,152.328563551,801,802,0,14,5.63063052845
163.318964067,-66.3330997436,-66.9080688357,161.002851695,-65.7581306515,165.635076439,243.017819743,801,802,0,14,5.55298225073
143.706879922,-58.9200838815,-59.0407623477,142.457793369,-58.7994054152,144.955966474,145.882181224,801,802,0,15,5.80209903597
147.129183943,-59.6961082053,-59.9088308238,145.586634641,-59.4833855867,148.671733245,179.426566002,801,802,0,15,5.73667325477
151.288466654,-62.3013443268,-62.4132593828,150.705235826,-62.1894292708,151.871697483,65.223686943,801,802,0,15,5.65538686828
157.209513629,-65.7975536747,-66.0909662729,155.699526208,-65.5041410765,158.719501049,152.328563552,801,802,0,15,5.62969876128
163.770143455,-66.5663922017,-67.1468076153,161.469543285,-65.9859767881,166.070743625,240.869232633,801,802,0,15,5.55187462319
143.855007695,-59.2259513765,-59.3505081983,142.596181628,-59.1013945548,145.113833762,145.882181224,801,802,0,16,5.80170735432
147.317506892,-59.9907480527,-60.2087457255,145.764160063,-59.7727503799,148.870853721,179.426566002,801,802,0,16,5.73619274385
151.555397978,-62.5809897844,-62.6951134619,150.968689524,-62.4668661068,152.142106432,65.2236869419,801,802,0,16,5.65468823002
157.608479183,-66.053035876,-66.3529026558,156.090978674,-65.7531690962,159.125979692,152.328563551,801,802,0,16,5.62872770424
164.586380881,-66.695735297,-67.3833396967,161.949151259,-66.0081308973,167.223610502,277.745726437,801,802,0,16,5.55072662387
144.008945357,-59.5314023659,-59.6598927191,142.740252482,-59.4029120126,145.277638233,145.882181224,801,802,0,17,5.80127906949
147.512410247,-60.2847650728,-60.5081103305,145.948180157,-60.061419815,149.076640337,179.426566002,801,802,0,17,5.73567406259
151.830790362,-62.8596170843,-62.9759793963,151.240619641,-62.7432547724,152.420961084,65.2236869432,801,802,0,17,5.65395000224
158.019138701,-66.3067594377,-66.6131683066,156.494366298,-66.0003505687,159.543911104,152.328563552,801,802,0,17,5.62771745711
165.081520886,-66.9172906884,-67.6175826742,162.441958223,-66.2169987025,167.721083549,277.745726438,801,802,0,17,5.54953836698
141.459233693,-58.5920851289,-58.646543368,140.877918135,-58.5376268899,142.040549251,68.4497729987,801,802,0,18,5.83609450574
144.168851163,-59.8364138579,-59.9688943676,142.890164435,-59.7039333482,145.44753789,145.882181225,801,802,0,18,5.80081424609
147.71406771,-60.5781300945,-60.8068971187,146.138872871,-60.3493630703,149.28926255,179.426566002,801,802,0,18,5.73511728287
152.114867437,-63.1371834059,-63.2558148705,151.521254493,-63.0185519412,152.70848038,65.2236869434,801,802,0,18,5.65317227083
158.441783748,-66.5586552245,-66.8716945692,156.91000715,-66.2456158797,159.973560345,152.328563552,801,802,0,18,5.62666812055
141.586070842,-58.9049518505,-58.9611008816,141.000098584,-58.8488028193,142.1720431,68.449772998,801,802,0,19,5.83568580117
144.334889089,-60.1409620046,-60.2774907825,143.046081943,-60.0044332267,145.623696234,145.882181224,801,802,0,19,5.80031294836
147.922658731,-60.8708128807,-61.1050775298,146.336422398,-60.6365482316,149.508895064,179.426566002,801,802,0,19,5.7345224764
152.40785932,-63.4136443319,-63.5345759647,151.81082926,-63.2927126991,153.004889381,65.2236869426,801,802,0,19,5.65235512185
158.876710926,-66.8086515932,-67.1284101452,157.338226085,-66.4888930413,160.415195767,152.328563552,801,802,0,19,5.62557979577
141.718312039,-59.217505575,-59.2753695095,141.127613874,-59.1596416404,142.309010203,68.4497729985,801,802,0,20,6.06252602136
144.507229063,-60.4450220606,-60.5856587435,143.208175663,-60.3043853776,145.806282463,145.882181224,801,802,0,20,6.02587743158
148.138368685,-61.1627820802,-61.4026219143,146.541019399,-60.922942246,149.735717972,179.426566002,801,802,0,20,5.958760504
152.71000273,-63.6889537825,-63.8122170859,152.109586119,-63.5656904791,153.310419342,65.2236869431,801,802,0,20,5.8729862688
159.324221561,-67.0566743124,-67.3832409982,157.779354507,-66.7301076266,160.869088615,152.328563552,801,802,0,20,5.84145575007
141.777676398,-59.5609855278,-59.6200522698,141.181421623,-59.5019187859,142.373931172,68.4497730302,801,802,0,21,6.08919367948
144.606054606,-60.7823302138,-60.9259921692,143.294722434,-60.6386682584,145.917386777,145.882181239,801,802,0,21,6.05242900139
148.28291841,-61.4908987894,-61.7350515684,146.671588557,-61.2467460105,149.894248262,179.426566014,801,802,0,21,5.98522389263
152.939538336,-64.0037259326,-64.1288824272,152.334385443,-63.878569438,153.54469123,65.2236869764,801,802,0,21,5.89908654019
159.699412742,-67.348261554,-67.6806548027,158.144016307,-67.0158683053,161.254809177,152.328563566,801,802,0,21,5.86697486149
141.831121997,-59.9077315252,-59.9679492741,141.229104492,-59.8475137763,142.433139503,68.4497730317,801,802,0,22,6.09072383992
144.699733635,-61.123106541,-61.2696929236,143.375653277,-60.9765201584,146.023813994,145.88218124,801,802,0,22,6.05398191882
148.423540638,-61.8227149873,-62.0710737103,146.797665678,-61.5743562643,150.049415599,179.426566015,801,802,0,22,5.98683744918
153.166986279,-64.3223398277,-64.4493585537,152.556889395,-64.1953211018,153.777083163,65.2236869779,801,802,0,22,5.90072937775
160.076236477,-67.6436233597,-67.9817987013,158.509887036,-67.3054480181,161.642585917,152.328563567,801,802,0,22,5.86854371527
141.888441345,-60.2544591147,-60.3158457222,141.280534042,-60.1930725072,142.496348647,68.4497730319,801,802,0,23,6.09223241575
144.798369385,-61.4637407451,-61.613300375,143.461274889,-61.3141811152,146.135463881,145.88218124,801,802,0,23,6.05551246749
148.570281506,-62.1542082278,-62.406843379,146.929609839,-61.9015730767,150.210953172,179.426566015,801,802,0,23,5.98842743387
153.403097653,-64.6402687438,-64.7691819721,152.788012048,-64.5113555156,154.018183258,65.2236869783,801,802,0,23,5.90234702476
160.466309938,-67.9375476626,-68.2816079855,158.889141161,-67.5934873396,162.043478715,152.328563567,801,802,0,23,5.87008659219
