Time_(Ma),Seafloor_prod_(km2),Ridge_length_(km),Mean_spreading_rate_(km/Ma)
10,39584.56216513235,646.487358268,61.34760614465
11,36403.412311380445,646.0106775475999,56.463117141350004
12,36291.415967767796,644.0779651094,56.45645294022499
13,44640.41600468628,787.9554608115,56.76505828764
14,44519.53252975026,785.8788174626,56.75845636842
15,44394.39333760775,783.730230354,56.75146508698
16,46435.17308701557,820.6067241558999,56.744085312600006
17,46428.29691692702,820.6067241592,56.736317916820006
18,35005.7018971855,611.3107707211,57.303732852159996
19,35001.43279060787,611.3107707186,57.2969122871
20,36360.84989606093,611.3107707196,59.52321195162
21,36521.21666766488,611.3107708256,59.78581595036
22,36530.88596995529,611.3107708315999,59.80163260188
23,36540.40957070895,611.3107708322,59.81721186812
24,36549.78794430077,611.3107708314001,59.83255451362
25,69113.11529265928,1128.0577991957,60.74712086577143
26,49299.60922159335,793.0251812491,62.57873355150769
27,71272.83887271013,989.4359645919002,70.97992203349285
28,206142.31148672485,2765.2614328982,73.4212500651913
29,227800.54322435762,2915.9957330316,76.94234430827917
30,224477.92668380367,2915.9957330014004,75.78360027012917
31,194835.5351366183,2915.99573297,65.44638647954167
32,194857.16013610116,2915.9957330163998,65.45681904873334
33,175310.580630275,2915.9957330369,58.36579071473333
34,156243.8805578524,2915.9957345568,51.475084306120834
35,163142.94150891068,3124.7897045331,52.44402353645238
36,163234.15035199607,3124.7897045316,52.47309143597143
37,168552.03563873732,3215.5459154908,52.73358528231363
38,94386.14989144201,2969.0824339767996,31.89265813512857
39,87735.45657293158,2969.0824339622,29.63949382255715
40,87781.15166355364,2969.0824339611,29.654871676485712
