MeanPointLon,MeanPointLat,StartPointLat,StartPointLon,EndPointLat,EndPointLon,Length_km,LeftPlate,RightPlate,PlateID,Time_Ma,Plate_Velocity
127.832138187,-32.4966335638,-31.388907442,126.58311938,-33.6043596856,129.081156993,339.934064353,781,678,0,125,7.7004244003
128.623118137,-35.5754710529,-35.1135393242,128.050427003,-36.0374027816,129.195809271,145.887711529,781,678,0,125,7.73256307811
128.806713082,-36.513263103,-36.0374027816,129.195809271,-36.9891234244,128.417616892,126.632191978,781,678,0,125,7.70126149025
129.010823157,-37.375228018,-36.9891234244,128.417616892,-37.7613326117,129.604029423,135.510191558,781,678,0,125,7.77494391463
110.640854539,-22.1680935344,-20.9106529688,110.94083439,-23.4255341,110.340874688,286.384146931,499,534,0,125,5.89873489672
125.166260056,-29.3898742924,-29.3854894627,125.165063005,-29.3942591221,125.167457106,1.00234973811,781,678,0,125,7.72915724864
125.507820666,-29.6286773207,-29.3942591221,125.167457106,-29.8630955193,125.848184225,83.9457161847,781,678,0,125,7.7292465983
126.467482464,-30.2918367694,-29.8630955193,125.848184225,-30.7205780194,127.086780703,152.423504248,781,678,0,125,7.70073064844
111.271894363,-20.4862670788,-20.4629996969,111.041949638,-20.5095344607,111.501839088,48.1819535256,780,781,0,125,8.70763625493
112.127033258,-20.5842193401,-20.5095344607,111.501839088,-20.6589042195,112.752227428,131.215475637,780,781,0,125,8.71851516082
112.769073022,-20.9121119132,-20.6589042195,112.752227428,-21.1653196069,112.785918616,56.4195370131,780,781,0,125,8.74558612391
113.23714005,-21.1535824166,-21.1653196069,112.785918616,-21.1418452263,113.688361483,93.6217277576,780,781,0,125,8.74694827724
113.72274515,-21.4425322351,-21.1418452263,113.688361483,-21.7432192438,113.757128817,67.2475308983,780,781,0,125,8.76382533224
114.173229039,-21.7391860123,-21.7432192438,113.757128817,-21.7351527808,114.58932926,85.9599224664,780,781,0,125,8.76570300599
114.683416093,-22.510523531,-21.7351527808,114.58932926,-23.2858942812,114.777502925,173.514772861,780,781,0,125,8.77936367307
115.285783559,-23.2907726345,-23.2858942812,114.777502925,-23.2956509878,115.794064192,103.830724407,780,781,0,125,8.78359042912
115.860934519,-23.6109674084,-23.2956509878,115.794064192,-23.926283829,115.927804846,71.4349225589,780,781,0,125,8.79734154229
116.607670531,-23.8562839486,-23.926283829,115.927804846,-23.7862840681,117.287536215,139.150669602,780,781,0,125,8.79937524744
117.368728918,-24.0800690146,-23.7862840681,117.287536215,-24.373853961,117.449921622,67.3825068093,780,781,0,125,8.81349530161
117.908877949,-24.3159670765,-24.373853961,117.449921622,-24.258080192,118.367834277,93.8992912746,780,781,0,125,8.81512367295
118.52004622,-24.6387524034,-24.258080192,118.367834277,-25.0194246147,118.672258164,90.0755989993,780,781,0,125,8.82193483762
119.187927464,-24.978103985,-25.0194246147,118.672258164,-24.9367833553,119.703596764,104.358797005,780,781,0,125,8.82393471892
119.993955017,-25.7193093977,-24.9367833553,119.703596764,-26.5018354401,120.284313269,183.491487099,780,781,0,125,8.82860607181
121.137854783,-26.4693010603,-26.5018354401,120.284313269,-26.4367666804,121.991396297,170.073825243,780,781,0,125,8.83027653751
122.228785663,-26.9851205179,-26.4367666804,121.991396297,-27.5334743554,122.46617503,130.707932859,780,781,0,125,8.83059677148
123.175125091,-27.3602744597,-27.5334743554,122.46617503,-27.1870745641,123.884075152,145.226372077,780,781,0,125,8.82956548315
124.380306672,-28.307742967,-27.1870745641,123.884075152,-29.4284113698,124.876538191,267.490437375,780,781,0,125,8.82365590262
125.020800598,-29.4069504163,-29.4284113698,124.876538191,-29.3854894627,125.165063005,28.3534126586,780,781,0,125,8.81734920179
127.124332227,-29.06134473,-29.3854894627,125.165063005,-28.7371999973,129.083601449,387.605702174,780,781,0,125,8.81508508978
127.730703388,-33.0982418661,-31.9903668366,126.473385859,-34.2061168957,128.988020917,339.934064353,781,678,0,126,7.72461783359
128.526890031,-36.1772295722,-35.7153131553,127.949812684,-36.6391459891,129.103967379,145.887711529,781,678,0,126,7.75762779319
128.711845003,-37.1150299086,-36.6391459891,129.103967379,-37.5909138282,128.319722627,126.632191978,781,678,0,126,7.72701428932
128.917820616,-37.9769600494,-37.5909138282,128.319722627,-38.3630062706,129.515918606,135.510191558,781,678,0,126,7.80004145857
110.801801889,-21.8503156938,-21.7488962762,110.825360066,-21.9517351115,110.778243711,23.0729217022,499,534,0,126,5.8820218751
110.539912185,-22.9609542564,-21.9517351115,110.778243711,-23.9701734013,110.30158066,229.684294205,499,534,0,126,5.87783885499
