Time_(Ma),Seafloor_prod_(km2),Ridge_length_(km),Mean_spreading_rate_(km/Ma)
125,325235.6967584845,3910.96247682051,84.35330031437242
126,316819.1503473158,3788.6142502262,83.94014976275356
127,297728.6387777661,3519.074134128,84.06205744570386
128,298540.33319327125,3518.8140905159,84.2132424374074
129,295873.8783447392,3586.8848475220993,81.2207960531393
130,258327.58885507402,3596.8896706353003,71.86715236655385
131,257376.4236598117,3656.6025727202805,69.25505365448147
132,256982.9552495576,3602.1371326294,71.845130168092
133,262521.67675103864,3586.05531961861,72.0278040922923
134,262164.9278088926,4086.2466362790997,72.0564894183577
135,261304.244366678,4046.27320953,72.08424196171153
136,251443.40230957992,3871.2657155376,72.36747369105201
137,251097.59765229284,3841.058119761,72.39691467468
138,250701.97266044235,3919.676370171,69.64737902499616
139,250209.4289121996,3887.3484077911003,69.67876895266923
140,210553.36114055855,4073.37429156918,55.25454862026296
141,205053.30694471707,3847.6221505055996,54.83202256375769
142,204432.2203646034,3812.8574597999,54.771176703073074
143,180398.3299451426,2915.794761764,61.74004151019501
144,180310.40260715105,2918.9222466547,61.639912826505
145,180168.75233290103,2921.30521550543,61.53468861180001
146,179969.7876336467,2924.4804678933997,61.505033258710526
147,178979.256345484,2912.5931591184008,61.48049605620555
148,177929.29625225603,2899.9385632973,61.36274555216111
149,176848.14859507955,2887.0098650260998,61.23789972520555
150,176076.48186791674,2879.8937537365,61.09763921124444
151,163049.96662048626,2676.4985285043995,60.35580877039001
152,161912.69036703662,2655.7801649011,60.31953406885
153,159221.80384187814,2636.0903808022003,59.59215920496499
154,157380.70371600322,2617.4374335624298,59.088252304159994
155,156280.87133810727,2595.3146147649995,59.01967941788948
