MeanPointLon,MeanPointLat,StartPointLat,StartPointLon,EndPointLat,EndPointLon,Length_km,LeftPlate,RightPlate,PlateID,Time_Ma,Plate_Velocity
-11.9839417076,21.0685803677,21.2980433891,-11.6095765419,20.8391173463,-12.3583068734,92.9500336362,714,101,0,150,3.02159714042
-12.9438612919,20.4337039348,20.8391173463,-12.3583068734,20.0282905233,-13.5294157104,151.720580077,714,101,0,150,3.0592106269
-14.2057580841,20.269510276,20.4526883442,-13.9411457172,20.0863322078,-14.470370451,68.6065262052,714,101,0,150,3.1133811425
-15.5435579047,19.4049003342,20.1550911558,-14.5450278548,18.6547095126,-16.5420879546,267.766324875,714,101,0,150,3.13993690444
-17.0854645746,18.4624922167,18.7615086966,-16.6736055315,18.1634757369,-17.4973236176,109.407118207,714,101,0,150,3.2448662509
-17.88348524,18.2054366342,18.2510659253,-17.6017919174,18.1598073431,-18.1651785627,60.3688612816,714,101,0,150,3.28554347188
-19.0945738746,18.003110829,18.1598073431,-18.1651785627,17.8464143148,-20.0239691865,199.632746352,714,101,0,150,3.30171843184
-21.1058427681,17.4611235868,18.0441072163,-20.2485001984,16.8781399573,-21.9631853378,223.35465559,714,101,0,150,3.35276111106
-22.9343653805,16.7347279268,17.0986079,-22.2115926172,16.3708479536,-23.6571381437,173.9037883,714,101,0,150,3.42928481895
-24.2709150128,16.0377378611,16.4059186981,-23.7011777622,15.6695570242,-24.8406522634,146.739852568,714,101,0,150,3.48445109876
-25.4348904834,15.6680674941,15.9249118573,-25.1265555577,15.4112231309,-25.7432254091,87.3018791427,714,101,0,150,3.52971226388
-26.2692269781,14.6716321797,15.3596907169,-25.7000930622,13.9835736426,-26.8383608939,195.973646242,714,101,0,150,3.55933107937
-27.2889778492,13.4994447279,13.9835736426,-26.8383608939,13.0153158132,-27.7395948044,145.213439054,714,101,0,150,3.62389683197
-27.858006005,12.2878083887,12.7947707565,-27.4879821684,11.7808460208,-28.2280298415,138.476597618,714,101,0,150,3.67095706649
-28.6594638355,11.0994482555,11.7808460208,-28.2280298415,10.4180504902,-29.0908978295,178.402146565,714,101,0,150,3.71281562161
-29.4617025257,9.8465901859,10.3087748482,-28.9772064878,9.38440552358,-29.9461985635,147.764960053,714,101,0,150,3.76519279757
-30.0268020314,9.02158761495,9.24931426356,-29.7935615444,8.79386096633,-30.2600425184,72.0360894333,714,101,0,150,3.80539266595
-30.8928193654,7.57890141888,8.5393126366,-29.9688751648,6.61849020116,-31.8167635659,295.128482364,714,101,0,150,3.8255686046
-31.5860818967,5.74875452718,6.15244117467,-31.2590764199,5.34506787968,-31.9130873736,115.304698783,714,101,0,150,3.89895126051
-31.3348825858,4.00153392452,4.49601504524,-30.9462571433,3.50705280379,-31.7235080283,139.735025983,714,101,0,150,3.92976285929
-32.5766944875,2.45433754405,3.50705280379,-31.7235080283,1.40162228431,-33.4298809466,301.231512446,714,101,0,150,3.95891495729
-11.8251891482,21.1394807729,21.3911675273,-11.4151351524,20.8877940184,-12.2352431439,101.819684896,714,101,0,151,3.01286979634
-12.8205077544,20.4817813845,20.8877940184,-12.2352431439,20.0757687506,-13.4057723649,151.720580076,714,101,0,151,3.05418594044
-14.0826019224,20.3162863839,20.4997400651,-13.8181267931,20.1328327027,-14.3470770517,68.6065262041,714,101,0,151,3.10849852013
-15.4197519139,19.4502639942,20.2015134948,-14.4218382416,18.6990144935,-16.4176655862,267.766324875,714,101,0,151,3.13511874435
-16.9609498221,18.5062104113,18.8056721904,-16.5493455526,18.2067486321,-17.3725540916,109.407118207,714,101,0,151,3.24030115184
-17.7196472079,18.254734921,18.2942251208,-17.477153894,18.2152447212,-17.9621405218,51.9616170048,714,101,0,151,3.28108432398
-18.930776399,18.0510720942,18.2152447212,-17.9621405218,17.8868994672,-19.8994122761,208.039990628,714,101,0,151,3.29505218552
-20.9810406655,17.5003864723,18.0843405901,-20.12423928,16.9164323544,-21.837842051,223.354655589,714,101,0,151,3.3485271697
-22.8090311577,16.7719023439,17.1366159467,-22.0865755763,16.4071887411,-23.5314867391,173.903788299,714,101,0,151,3.42527235851
-24.1449517578,16.0733619424,16.4422082813,-23.575578834,15.7045156035,-24.7143246817,146.739852568,714,101,0,151,3.4806068265
-25.3086606188,15.7023256593,15.9595339605,-25.0006013901,15.4451173582,-25.6167198476,87.3018791418,714,101,0,151,3.52601802824
-26.1418602761,14.7049010399,15.3936360492,-25.5735148563,14.0161660306,-26.710205696,195.973646241,714,101,0,151,3.55572215364
-27.1602685651,13.5314969019,14.0161660306,-26.710205696,13.0468277731,-27.6103314342,145.213439054,714,101,0,151,3.62047655332
-27.7278355697,12.3191776145,12.8265855253,-27.3584078536,11.8117697037,-28.0972632857,138.476597618,714,101,0,151,3.66767498869
-28.5278837103,11.1298492772,11.8117697037,-28.0972632857,10.4479288508,-28.9585041349,178.402146565,714,101,0,151,3.70966864586
-29.3286226956,9.87601618423,10.3387915526,-28.8446646485,9.41324081586,-29.8125807426,147.764960053,714,101,0,151,3.76221855552
-29.8927343204,9.05032424115,9.27833642396,-29.6597614183,8.82231205833,-30.1257072225,72.0360894321,714,101,0,151,3.80256718999
-30.7569970012,7.60657173398,8.56812081392,-29.8341985999,6.64502265404,-31.6797954024,295.128482363,714,101,0,151,3.82281401014
-31.4480110219,5.7755730486,6.17966425266,-31.1214952531,5.37148184454,-31.7745267908,115.304698782,714,101,0,151,3.8964963693
-31.1946238648,4.0286643594,4.52362545191,-30.8066000117,3.53370326688,-31.5826477178,139.735025982,714,101,0,151,3.92742723655
-32.0161663712,2.99799999071,3.53370326688,-31.5826477178,2.46229671453,-32.4496850246,153.174498107,714,101,0,151,3.95672692067
-11.6663042336,21.2102892937,21.4841365386,-11.220752985,20.9364420489,-12.1118554823,110.642501965,714,101,0,152,3.00412853234
-12.6968340772,20.5298361624,20.9364420489,-12.1118554823,20.1232302759,-13.281812672,151.720580077,714,101,0,152,3.04914740113
-13.9591267219,20.3630518574,20.5467784441,-13.6947871193,20.1793252708,-14.2234663244,68.6065262056,714,101,0,152,3.1036013207
-15.2956348856,19.4956306848,20.2479285249,-14.2983305831,18.7433328447,-16.292939188,267.766324875,714,101,0,152,3.13028578475
-16.8361326924,18.5499473552,18.849850161,-16.4247804271,18.2500445493,-17.2474849577,109.407118207,714,101,0,152,3.23572062267
-17.5557949528,18.304080283,18.3374082129,-17.3522153492,18.2707523532,-17.7593745564,43.6177050842,714,101,0,152,3.27660948502
-18.7669661207,18.099092142,18.2707523532,-17.7593745564,17.9274319308,-19.774557685,216.38390255,714,101,0,152,3.2883723866
-20.8559441232,17.5397074132,18.1246231236,-19.9996786215,16.9547917027,-21.7122096248,223.35465559,714,101,0,152,3.34427664307
-22.6834086834,16.8091530738,17.1746929771,-21.961267106,16.4436131705,-23.4055502609,173.9037883,714,101,0,152,3.42124294019
-24.0187063341,16.1090759268,16.4785818703,-23.4496944661,15.7395699832,-24.5877182021,146.739852568,714,101,0,152,3.47674537228
-25.1821515314,15.7366852123,15.9942541758,-24.8743656829,15.4791162488,-25.48993738,87.3018791429,714,101,0,152,3.5223064079
-26.0142234922,14.7382806042,15.4276857162,-25.4466602683,14.0488754921,-26.581786716,195.973646242,714,101,0,152,3.55209585682
-27.031299855,13.5636711054,14.0488754921,-26.581786716,13.0784667187,-27.480812994,145.213439054,714,101,0,152,3.61703900828
-27.5974169266,12.3506760303,12.8585252472,-27.2285807431,11.8428268134,-27.9662531102,138.476597618,714,101,0,152,3.66437580287
-28.3960661235,11.1603888043,11.8428268134,-27.9662531102,10.4779507952,-28.8258791369,178.402146565,714,101,0,152,3.7065046816
