Time_(Ma),Seafloor_prod_(km2),Ridge_length_(km),Mean_spreading_rate_(km/Ma)
150,117217.92092252219,3311.0189647759994,35.10154619341905
151,111500.38892415074,3171.8316016858,35.06158460439523
152,111534.37058306263,3177.9715430880997,35.021463029128576
153,111564.59309965347,3184.0634028927993,34.98118213594286
154,153802.09175639876,3190.1073485198,48.213025119333324
155,145146.6617458277,3150.0961610880004,46.27764209936191
156,144778.047820556,3148.8044380813,46.17869826705714
157,144406.28369058983,3147.4586656489996,46.079262972728564
158,144031.42128803182,3146.0592648886995,45.979340854495234
159,143653.51196923095,3144.6066455705,45.878936658200004
160,143272.606528527,3143.1012062123,45.7780552400143
161,141829.0447456943,3141.5433344351004,45.34082614774286
162,140384.07293119465,3139.9334069969,44.90329336091905
163,138938.30549696815,3138.2717901199,44.465632664552395
164,110356.91491220296,3136.5588395664995,35.32986223669048
165,63047.75689293483,3985.9557421950003,15.227102217706893
166,62664.539603241676,3987.2377424777,15.119860778651725
167,62276.65508898765,3988.5128114228996,15.011653794579312
168,61884.17268310582,3989.7809677239998,14.902500278558621
169,61487.16340445911,3991.0422299894,14.792419672682758
170,61085.70007128279,3992.2966166545,14.681431877755173
171,61152.146268476325,3993.5441462589006,14.695805722958621
172,61218.63617972855,3994.7848371265,14.710200161606895
173,61285.168165230796,3996.0187074795003,14.724614854627584
174,61351.740596105825,3997.2457754022003,14.739049463758622
175,56873.08367348467,3743.9046527575,15.08585982437778
176,56932.65942385009,3744.6738226427997,15.099790050648146
177,56992.258102875654,3745.4370253539996,15.113737169825924
178,57051.8782063477,3746.1942741868997,15.127700865951851
179,57111.51824027477,3746.9455824629,15.141680823188889
180,57171.17669688733,3747.6909633746,15.155676720199999
