MeanPointLon,MeanPointLat,StartPointLat,StartPointLon,EndPointLat,EndPointLon,Length_km,LeftPlate,RightPlate,PlateID,Time_Ma,Plate_Velocity
-21.9470367027,-2.86972762161,-2.52975958024,-21.9886036327,-3.20969566298,-21.9054697727,76.1671641161,201,714,0,90,3.86137318264
-20.5375955805,-4.38544001342,-3.29925949754,-20.6318786225,-5.47162052929,-20.4433125384,242.458767779,201,714,0,90,3.93168961732
-12.2228150872,-5.16795838938,-4.55329233714,-12.3160475037,-5.78262444162,-12.1295826706,138.246531543,201,714,0,90,4.13994279106
-11.8376702378,-6.1036868388,-5.78109667482,-11.890942598,-6.42627700277,-11.7843978776,72.7016018357,201,714,0,90,4.24026197771
-26.0688418719,-0.307785987219,0.889029663068,-25.9807373941,-1.5046016375,-26.1569463497,266.880130671,201,714,0,91,3.57013838177
-21.9984392193,-2.99201710106,-2.65197491649,-22.0393981118,-3.33205928563,-21.9574803268,76.1671641166,201,714,0,91,3.87122700985
-20.5914984159,-4.51022247641,-3.42387919275,-20.6838913006,-5.59656576007,-20.4991055312,242.45876778,201,714,0,91,3.94147293051
-12.2763531326,-5.30587836001,-4.69108139916,-12.3687315861,-5.92067532086,-12.183974679,138.246531543,201,714,0,91,4.14938786583
-11.8924425855,-6.24214622437,-5.91948208591,-11.9452736782,-6.56481036284,-11.8396114927,72.7016018362,201,714,0,91,4.24950532377
-26.1162105462,-0.422444015092,0.774198502571,-26.0257834195,-1.61908653276,-26.2066376729,266.880130671,201,714,0,92,3.58020696139
-25.5188080943,-2.14807660189,-1.72396740749,-25.5082192269,-2.57218579629,-25.5293969618,94.3470656158,201,714,0,92,3.79080491231
-22.0505738378,-3.11426973345,-2.77415466701,-22.0909259669,-3.45438479989,-22.0102217086,76.1671641171,201,714,0,92,3.88106399247
-20.6461262365,-4.63495788037,-3.54845549391,-20.7366325847,-5.72146026682,-20.5556198883,242.45876778,201,714,0,92,3.95123750989
-12.3305908032,-5.44371858968,-4.82879228389,-12.4221174877,-6.05864489547,-12.2390641188,138.246531543,201,714,0,92,4.15880657331
-11.947910354,-6.38052264691,-6.05778535159,-12.0003012832,-6.70325994222,-11.8955194248,72.7016018367,201,714,0,92,4.25872196004
-26.1643255121,-0.537085879445,0.659379402976,-26.0715808033,-1.73355116187,-26.2570702209,266.880130671,201,714,0,93,3.59026573793
-25.5702156905,-2.26386528857,-1.83977714314,-25.5588129065,-2.687953434,-25.5816184745,94.3470656151,201,714,0,93,3.80058364533
-22.103440917,-3.23648010867,-2.89629341235,-22.1431875323,-3.57666680498,-22.0636943018,76.1671641161,201,714,0,93,3.89088382314
-20.7014795002,-4.75964091961,-3.67298306911,-20.7901028503,-5.84629877011,-20.6128561502,242.458767779,201,714,0,93,3.96098307121
-12.3855285789,-5.58147429176,-4.96642018915,-12.4762056329,-6.19652839436,-12.2948515249,138.246531543,201,714,0,93,4.16819873422
-12.0040741067,-6.51881135962,-6.19600171683,-12.0560259472,-6.8416210024,-11.9521222663,72.7016018357,201,714,0,93,4.26791171357
-26.2131869861,-0.651705914608,0.544578055665,-26.1181296793,-1.84798988488,-26.3082442928,266.880130671,201,714,0,94,3.60031431947
-25.6223626015,-2.37962331412,-1.95555772492,-25.6101474744,-2.80368890332,-25.6345777285,94.347065615,201,714,0,94,3.81035004571
-22.1570407967,-3.35864281792,-3.01838573453,-22.1961831225,-3.69889990131,-22.1178984708,76.1671641162,201,714,0,94,3.90068619773
-20.7575586477,-4.88426628933,-3.79745658778,-20.8443024553,-5.97107599088,-20.6708148402,242.458767779,201,714,0,94,3.97070933328
-12.4411669314,-5.71914068112,-5.10396031454,-12.5309964385,-6.33432104769,-12.3513374244,138.246531543,201,714,0,94,4.17756417161
-12.0609343999,-6.65700761685,-6.33412642786,-12.1124481975,-6.97988880585,-12.0094206023,72.7016018356,201,714,0,94,4.27707441377
-26.2627951602,-0.76629845691,0.429800149485,-26.1654301575,-1.96239706331,-26.360160163,266.880130671,201,714,0,95,3.61035231785
-25.6752491251,-2.49534508266,-2.07130354776,-25.6622231998,-2.91938661756,-25.6882750505,94.3470656153,201,714,0,95,3.82010375531
-22.2113737968,-3.48075245383,-3.14042621713,-22.2499130327,-3.82107869053,-22.1728345609,76.1671641165,201,714,0,95,3.91047081526
-20.8143641018,-5.00882868562,-3.92187072074,-20.8992317398,-6.09578665051,-20.7294964638,242.458767779,201,714,0,95,3.9804160179
-12.4975063251,-5.8567129741,-5.24140786138,-12.5864903135,-6.47201808683,-12.4085223368,138.246531543,201,714,0,95,4.18690271085
-12.1184917821,-6.79510667409,-6.47215473214,-12.1695685536,-7.11805861603,-12.0674150107,72.7016018362,201,714,0,95,4.28620989235
-26.3131502023,-0.880857844779,0.315051370643,-26.213482323,-2.0767670602,-26.4128180817,266.880130672,201,714,0,96,3.72565487704
-25.728875536,-2.61102499975,-2.1870090082,-25.7150403285,-3.03504099129,-25.7427107436,94.3470656185,201,714,0,96,3.93370015573
-22.2664402184,-3.60280361049,-3.26240944534,-22.3043775389,-3.94319777564,-22.2285028979,76.1671641204,201,714,0,96,4.02447779548
-20.8718962676,-5.13332280554,-4.04622014021,-20.9548910263,-6.22042547088,-20.788901509,242.458767781,201,714,0,96,4.09392267381
-12.5545472164,-5.99418638853,-5.37875803269,-12.6426876588,-6.60961474436,-12.4664067739,138.246531545,201,714,0,96,4.29739068349
-12.1767467949,-6.93310378789,-6.6100818784,-12.2273875278,-7.25612569738,-12.1261060621,72.7016018402,201,714,0,96,4.39528481842
-26.3596351581,-0.99731827766,0.198395274173,-26.257642456,-2.19303182949,-26.4616278603,266.880130671,201,714,0,97,3.735719285
-25.778662547,-2.72861016471,-2.3046215177,-25.7640102094,-3.15259881173,-25.7933148846,94.3470656147,201,714,0,97,3.94346768558
-22.3176749082,-3.7268158025,-3.3863541853,-22.3550047742,-4.0672774197,-22.2803450423,76.1671641158,201,714,0,97,4.03429668241
-20.9256160887,-5.25979524646,-4.17254988213,-21.006720663,-6.34704061079,-20.8445115144,242.458767779,201,714,0,97,4.103669212
-12.6077342061,-6.13374352366,-5.51819222871,-12.6950249288,-6.74929481861,-12.5204434834,138.246531543,201,714,0,97,4.30683170766
-12.2311552761,-7.07318666034,-6.75009489235,-12.2813567978,-7.39627842833,-12.1809537544,72.7016018353,201,714,0,97,4.40451272802
-26.4068791635,-1.11377530674,0.0817385420077,-26.3025667687,-2.30928915548,-26.5111915583,266.88013067,201,714,0,98,3.74577344147
-25.8292010978,-2.8461829798,-2.42222317807,-25.8137332562,-3.27014278152,-25.8446689394,94.3470656141,201,714,0,98,3.95322275555
-22.3696539394,-3.85079783919,-3.51027001794,-22.4063776279,-4.19132566044,-22.332930251,76.1671641149,201,714,0,98,4.04409778357
