Time_(Ma),Seafloor_prod_(km2),Ridge_length_(km),Mean_spreading_rate_(km/Ma)
90,21279.890344535655,529.5740652738,40.433168921825
91,30858.883753290167,796.4541959468,39.563463023459995
92,34513.15729791246,890.8012615636,39.36806984901667
93,34600.002010545606,890.8012615599001,39.464711208999994
94,34686.69117834014,890.8012615598002,39.56116413595
95,34773.222159851706,890.8012615609999,39.657425849199996
96,35782.20438298607,890.8012615770999,40.78405167328334
97,35869.15049581362,890.8012615588001,40.88082883445
98,35955.9373067054,890.8012615544001,40.977412505333334
99,36042.56201736501,890.8012615547,41.07379973870001
100,36129.02186257543,890.8012615519,41.16998762309999
101,42627.214681183774,1067.9431217348001,40.5417509007
102,42731.21017069923,1067.9431217334,40.63826277591429
103,42835.01826799757,1067.9431217347,40.73458483748571
104,42938.63554992466,1067.9431217260003,40.83071407361428
105,46102.20900806014,1135.521658223,41.47117585455
106,48081.36071942865,1192.4675116398,40.819368246544435
107,48005.50059622008,1192.4675116388,40.76220430582222
108,47932.85819898783,1192.4675116394,40.70769610348889
109,49774.48169725278,1246.6465556025,40.117506688700004
110,45483.79624699814,1246.6465555962004,36.67606943799
111,45571.28297107839,1246.6465555948998,36.74673832330001
112,45660.661025273665,1246.6465556026,36.81889318243
113,45751.903756902044,1246.6465556142998,36.892512591919996
114,45844.98395995216,1246.6465556036,36.96757469384001
115,45929.86228362149,1246.3339008444,37.044239609179996
116,45907.70896768381,1242.6350442729001,37.12426714444
117,45886.00011939027,1238.9179064762,37.205660550160005
118,45864.684112359115,1235.182591231,37.28839589999
119,45843.70917242153,1231.4292017530001,37.37244894297
120,31571.767510771642,1250.0356619551,26.341388686490912
