MeanPointLon,MeanPointLat,StartPointLat,StartPointLon,EndPointLat,EndPointLon,Length_km,LeftPlate,RightPlate,PlateID,Time_Ma,Plate_Velocity
27.0172721335,-53.1096464498,-50.3495673622,25.3622789521,-55.8697255374,28.672265315,652.176322551,501,802,0,101,5.66500213665
45.5446837075,-52.0331161763,-51.712718518,44.86195469,-52.3535138347,46.2274127251,117.47895522,501,802,0,101,6.90079423038
50.4497013446,-51.6486990537,-52.3535138347,46.2274127251,-50.9438842727,54.671989964,602.949682541,501,802,0,101,6.97711070353
62.2188761103,-51.0762191841,-52.4344457135,56.8104319906,-49.7179926548,67.62732023,812.824521491,501,802,0,101,7.49154159684
26.8288953319,-53.2334262727,-50.6105471699,25.2427429762,-55.8563053754,28.4150476875,620.173379424,501,802,0,102,5.66670549419
36.5040034106,-53.7742760314,-55.8563053754,28.4150476875,-51.6922466874,44.5929591337,1156.02641497,501,802,0,102,6.06229386615
45.2756984841,-52.0123804841,-51.6922466874,44.5929591337,-52.3325142807,45.9584378344,117.47895522,501,802,0,102,6.88590699128
50.1779812593,-51.6262060797,-52.3325142807,45.9584378344,-50.9198978787,54.3975246841,602.949682541,501,802,0,102,6.96274863054
55.4667841429,-51.6648403835,-50.9198978787,54.3975246841,-52.4097828884,56.5360436018,221.791597863,501,802,0,102,7.39150027543
61.9405124139,-51.050118082,-52.4097828884,56.5360436018,-49.6904532756,67.344981226,812.824521491,501,802,0,102,7.47960091157
75.2172950532,-46.3090581804,-46.1492381072,75.6095128552,-46.4688782537,74.8250772511,69.9539729635,550,801,575,103,6.26941835027
26.6383125382,-53.356719646,-50.8711828023,25.1226343382,-55.8422564897,28.1539907381,588.085586165,501,802,0,103,5.66861405169
36.2372444618,-53.7570336413,-55.8422564897,28.1539907381,-51.6718107929,44.3204981854,1156.02641497,501,802,0,103,6.04733854732
45.003213736,-51.9917088617,-51.6718107929,44.3204981854,-52.3116069305,45.6859292865,117.478955221,501,802,0,103,6.87075915299
49.9028295187,-51.6039788012,-52.3116069305,45.6859292865,-50.896350672,54.1197297508,602.949682541,501,802,0,103,6.94812930774
