Time_(Ma),Seafloor_prod_(km2),Ridge_length_(km),Mean_spreading_rate_(km/Ma)
101,148014.3375452542,2185.4294818030003,67.5861216685
102,232486.23665169868,3531.2445515090003,67.41459361526667
103,234657.99948341594,3569.1107312144995,66.6429862379
104,232422.90721043095,3536.9380006124,66.52603240495715
105,232545.59488899217,3542.4776147661005,65.9456470440625
106,213036.15039709036,3292.5060791969004,64.52396811132857
107,226652.83991634444,3539.4222025748995,63.4271808638625
108,257009.07392669527,4298.758852164399,53.49266584045715
109,257710.52798881131,4324.240443488199,53.772143337293336
110,268703.4994998132,4590.5972525744,53.06835226429375
111,266594.45908802893,4557.47298190396,53.404853518764696
112,263813.6655001905,4513.266947835769,53.29177853537647
113,234435.76072866458,3843.9925556191697,56.070290610788895
114,234221.75691855638,3848.87140821959,55.95746204718333
115,237639.34329413853,3914.31099915827,56.06817427332631
116,234522.016658978,3870.90912831971,55.953844507415795
117,235779.13974321535,3900.2621898856905,55.85557119385789
118,126000.15966041767,3017.18817908209,45.55861972049375
119,152367.93304034296,3653.0681908036695,45.26902778898333
120,194439.37733902343,3583.37288416875,55.19543399221111
121,144485.22689274052,3905.9366539461,38.54235900307143
122,145508.50315494547,3920.8185194679,38.59082843587143
123,157563.71617738166,3934.6808474391,42.93873410900477
124,177146.97387192407,3921.7174922864,47.782921072315006
125,149418.485241123,4057.8234217083004,38.77377044876667
126,246121.66608596884,3933.9180539448,62.55993324062271
127,236669.67341883644,4000.9297282264,51.889948141602396
128,220561.89789139718,4282.2144046929,44.4454029280777
129,165400.08938838015,3561.2508645739003,39.59741346037087
130,182396.35555377873,3789.7985881714003,41.47426766151708
131,148967.7112685016,2944.3311748949,50.56831540599375
