MeanPointLon,MeanPointLat,StartPointLat,StartPointLon,EndPointLat,EndPointLon,Length_km,LeftPlate,RightPlate,PlateID,Time_Ma,Plate_Velocity
53.0233127441,-21.4962170247,-22.1338329159,53.7778275431,-20.8586011335,52.2687979451,210.903915284,701,501,0,59,10.6187571612
52.4276445944,-16.5972344689,-17.1153415201,53.1189773567,-16.0791274177,51.7363118321,187.040989758,701,501,0,59,10.4914203296
52.5614053219,-21.9523750475,-22.5928572397,53.3154994911,-21.3118928553,51.8073111526,210.903915284,701,501,0,60,10.6158444558
52.0325531314,-19.7125986736,-20.323018935,52.7248002256,-19.1021784123,51.3403060372,198.572590745,701,501,0,60,10.5471290806
51.9852256794,-17.0511486093,-17.5719377793,52.6760137357,-16.5303594393,51.2944376231,187.040989759,701,501,0,60,10.4881314579
52.2126087724,-24.7972625438,-25.1394983907,52.5975699093,-24.4550266968,51.8276476355,108.77805084,701,501,0,61,11.8829990318
52.2560162023,-22.6189586696,-23.2601594869,53.0130016823,-21.9777578524,51.4990307222,210.903915294,701,501,0,61,11.8601155586
51.7273533522,-20.3786601631,-20.9898143192,52.4218093389,-19.7675060069,51.0328973655,198.572590756,701,501,0,61,11.7740534193
51.6829842162,-17.7171615816,-18.2386893776,52.3756790301,-17.1956337856,50.9902894023,187.040989769,701,501,0,61,11.7026602446
50.7596570841,-15.1383721293,-15.9662652056,51.8930808834,-14.310479053,49.6262332848,305.115036086,701,501,0,61,11.6135961711
51.8827559091,-25.5268299279,-25.8696173418,52.2694272541,-25.1840425139,51.4960845641,108.77805084,701,501,0,62,14.7985830194
51.9302358989,-23.3485433909,-23.9908208808,52.6902439449,-22.7062659011,51.1702278528,210.903915294,701,501,0,62,14.7680515931
51.4027015793,-21.1074744697,-21.719697615,52.0994343048,-20.4952513245,50.7059688537,198.572590756,701,501,0,62,14.6420752539
51.3627392507,-18.4459111798,-18.9685115311,52.0574219211,-17.9233108284,50.6680565803,187.040989769,701,501,0,62,14.5432555687
50.4406480864,-15.8655114009,-16.6953909136,51.5765044961,-15.0356318882,49.3047916768,305.115036086,701,501,0,62,14.4185952421
51.502515579,-26.4024940176,-26.7462424828,51.8910186773,-26.0587455524,51.1140124808,108.77805084,701,501,0,63,14.8117691012
51.5570129915,-24.2242761966,-24.8684317997,52.3202588097,-23.5801205934,50.7937671733,210.903915294,701,501,0,63,14.7808293577
51.0327772335,-21.9818860546,-22.5959280455,51.731868876,-21.3678440637,50.333685591,198.572590756,701,501,0,63,14.6549662871
51.0004849194,-19.3202288189,-19.8446490358,51.6972699235,-18.795808602,50.3036999154,187.040989769,701,501,0,63,14.5557076802
50.0818900609,-16.7372016519,-17.5703337234,51.2202256921,-15.9040695804,48.9435544297,305.115036086,701,501,0,63,14.4308266617
45.4207588616,-24.4514377449,-25.9548260558,46.9720516243,-22.9480494341,43.8694660988,458.660521819,501,701,0,67,12.7361632138
45.0181371889,-25.1593855189,-26.6694495702,46.5704337003,-23.6493214676,43.4658406775,458.660521822,501,701,0,68,5.80350385329
44.1798935182,-30.41415642,-30.958660079,44.7247726689,-29.8696527609,43.6350143675,159.946734591,501,701,0,69,6.11938512334
44.8253008079,-25.5953501608,-27.1131532368,46.3739412346,-24.0775470847,43.2766603812,458.660521822,501,701,0,69,5.86136647208
43.6409944838,-33.0533768307,-33.5550800302,44.0969871403,-32.5516736311,43.1850018273,140.259374889,501,701,0,70,6.3460180889
43.9500273837,-30.8471792565,-31.3944557875,44.4935856012,-30.2999027256,43.4064691662,159.946734578,501,701,0,70,6.17511778732
44.6297924418,-26.0315803218,-27.557127967,46.1747327242,-24.5060326765,43.0848521594,458.660521817,501,701,0,70,5.91892250052
42.8916320386,-34.712910132,-35.347784648,42.1334663973,-34.0780356161,43.64979768,197.843246259,501,701,0,71,6.45753404323
43.1955565704,-33.5735104508,-34.0780356161,43.64979768,-33.0689852856,42.7413154608,140.25937489,501,701,0,71,6.2745358309
43.4043581167,-32.4944390324,-33.0689852856,42.7413154608,-31.9198927792,44.0674007725,178.304286152,501,701,0,71,6.13921487769
43.525463058,-31.3692784704,-31.9198927792,44.0674007725,-30.8186641616,42.9835253435,159.946734579,501,701,0,71,5.97037008422
43.6439280842,-30.089746465,-30.8186641616,42.9835253435,-29.3608287685,44.3043308248,205.970840397,501,701,0,71,5.81802038626
45.0460173145,-28.7267361746,-29.3608287685,44.3043308248,-28.0926435807,45.7877038042,202.002857173,501,701,0,71,5.59973139086
44.2472507394,-26.5577823459,-28.0926435807,45.7877038042,-25.022921111,42.7067976745,458.660521818,501,701,0,71,5.41329041591
42.3892997333,-35.0857433696,-35.7143377097,41.6199433313,-34.4571490295,43.1586561354,197.843246258,501,701,0,72,6.55090179977
42.7084328737,-33.9489211847,-34.4571490295,43.1586561354,-33.4406933399,42.2582096121,140.259374889,501,701,0,72,6.36983281154
42.9306619472,-32.8715976122,-33.4406933399,42.2582096121,-32.3025018845,43.6031142823,178.304286151,501,701,0,72,6.23571597938
43.0651910279,-31.747488172,-32.3025018845,43.6031142823,-31.1924744594,42.5272677735,159.946734578,501,701,0,72,6.06850467293
43.1981643536,-30.4689707166,-31.1924744594,42.5272677735,-29.7454669738,43.8690609338,205.970840396,501,701,0,72,5.91740062822
44.620123404,-29.1173212971,-29.7454669738,43.8690609338,-28.4891756204,45.3711858741,202.002857172,501,701,0,72,5.70102736053
43.84111834,-26.9419398034,-28.4891756204,45.3711858741,-25.3947039865,42.3110508059,458.660521817,501,701,0,72,5.51602570852
41.4996783326,-36.034542866,-36.8624409096,40.5406770033,-35.2066448224,42.458679662,252.263460064,501,701,0,73,6.42160331063
42.0313496591,-34.4834211002,-35.2066448224,42.458679662,-33.760197378,41.6040196562,178.897877522,501,701,0,73,6.3451991797
42.1547712711,-33.1947538367,-33.760197378,41.6040196562,-32.6293102955,42.705522886,162.225389857,501,701,0,73,6.24297662691
42.5598058792,-32.3404601364,-32.6293102955,42.705522886,-32.0516099773,42.4140888725,69.8288061519,501,701,0,73,6.18583855901
42.7400378274,-31.6376991856,-32.0516099773,42.4140888725,-31.2237883938,43.0659867824,110.822896177,501,701,0,73,6.14319583882
42.7745261128,-30.9191790814,-31.2237883938,43.0659867824,-30.6145697689,42.4830654431,87.6416195483,501,701,0,73,6.09840141213
43.0303861055,-30.0320712076,-30.6145697689,42.4830654431,-29.4495726464,43.5777067679,166.987035772,501,701,0,73,6.04702915542
43.3370371657,-28.9424553858,-29.4495726464,43.5777067679,-28.4353381252,43.0963675635,122.11687291,501,701,0,73,5.98580999239
43.2961368284,-27.910998853,-28.4353381252,43.0963675635,-27.3866595808,43.4959060932,123.038921068,501,701,0,73,5.90474780551
43.3916922877,-26.353743564,-27.3866595808,43.4959060932,-25.3208275472,43.2874784823,230.647041178,501,701,0,73,5.83671192447
41.5297687097,-34.9476525008,-35.6732615965,41.9534770754,-34.2220434052,41.1060603439,178.897877522,501,701,0,74,6.49980852156
41.6643062252,-33.6596980349,-34.2220434052,41.1060603439,-33.0973526647,42.2225521066,162.225389857,501,701,0,74,6.44681573105
42.0783320542,-32.8077009101,-33.0973526647,42.2225521066,-32.5180491554,41.9341120018,69.8288061514,501,701,0,74,6.42277299995
42.2648812731,-32.1059453611,-32.5180491554,41.9341120018,-31.6938415668,42.5956505443,110.822896177,501,701,0,74,6.39983648886
42.305044138,-31.3876321761,-31.6938415668,42.5956505443,-31.0814227855,42.0144377318,87.6416195478,501,701,0,74,6.3796365962
42.884696142,-29.4140267343,-29.9224407199,43.1228583492,-28.9056127486,42.6465339347,122.11687291,501,701,0,74,6.32279330065
42.8508453402,-28.3823688129,-28.9056127486,42.6465339347,-27.8591248772,43.0551567458,123.038921068,501,701,0,74,6.27667722333
42.9575141685,-26.825663106,-27.8591248772,43.0551567458,-25.7922013348,42.8598715911,230.647041178,501,701,0,74,6.24132293447
41.0226757398,-35.4512466735,-36.1787619627,41.4440956834,-34.7237313843,40.6012557962,178.897877521,501,701,0,75,6.5176970743
41.1664832793,-34.1639079311,-34.7237313843,40.6012557962,-33.6040844779,41.7317107625,162.225389856,501,701,0,75,6.46654270132
41.5884913095,-33.3137967103,-33.6040844779,41.7317107625,-33.0235089428,41.4452718566,69.8288061505,501,701,0,75,6.44330258402
41.7804425282,-32.612868892,-33.0235089428,41.4452718566,-32.2022288411,42.1156131997,110.822896176,501,701,0,75,6.4210797151
41.82528094,-31.8947444205,-32.2022288411,42.1156131997,-31.5872599999,41.5349486802,87.6416195472,501,701,0,75,6.40149869746
42.419598179,-29.9236909889,-30.4331251157,42.6560652621,-29.4142568621,42.1831310958,122.116872909,501,701,0,75,6.34628129653
42.3913652169,-28.8919005942,-29.4142568621,42.1831310958,-28.3695443264,42.5995993381,123.038921068,501,701,0,75,6.30139228715
42.5071138653,-27.335675066,-28.3695443264,42.5995993381,-26.3018058056,42.4146283925,230.647041178,501,701,0,75,6.26693300611
39.9322532874,-37.4970355981,-38.3103361064,38.9354970108,-36.6837350897,40.929009564,252.263460064,501,701,0,76,4.9594618329
40.5099922278,-35.9542972661,-36.6837350897,40.929009564,-35.2248594425,40.0909748916,178.897877522,501,701,0,76,4.87466711878
40.663365279,-34.6676252836,-35.2248594425,40.0909748916,-34.1103911246,41.2357556663,162.225389857,501,701,0,76,4.77749185812
41.0935785773,-33.8194630948,-34.1103911246,41.2357556663,-33.5285350649,40.9514014882,69.8288061526,501,701,0,76,4.71575538145
41.2910891113,-33.1193988178,-33.5285350649,40.9514014882,-32.7102625707,41.6307767345,110.822896178,501,701,0,76,4.67536504819
41.3407440213,-32.4014869957,-32.7102625707,41.6307767345,-32.0927114206,41.0507113082,87.6416195488,501,701,0,76,4.62809415879
41.6177782826,-31.5181287235,-32.0927114206,41.0507113082,-30.9435460265,42.184845257,166.987035772,501,701,0,76,4.58103894115
41.9501329276,-30.4330855884,-30.9435460265,42.184845257,-29.9226251504,41.7154205982,122.11687291,501,701,0,76,4.51543499221
41.9276804838,-29.4011855887,-29.9226251504,41.7154205982,-28.879746027,42.1399403694,123.038921069,501,701,0,76,4.43945617937
42.0527537017,-27.8454867111,-28.879746027,42.1399403694,-26.8112273953,41.9655670339,230.647041178,501,701,0,76,4.37135621869
40.7033281892,-24.7309436859,-26.8112273953,41.9655670339,-22.6506599765,39.4410893444,528.193712646,501,701,0,76,4.2198007414
39.4723280186,-37.9121873926,-38.7202940439,38.4632439241,-37.1040807412,40.4814121131,252.263460064,501,701,0,77,4.46326496577
