Time_(Ma),Seafloor_prod_(km2),Ridge_length_(km),Mean_spreading_rate_(km/Ma)
59,42018.6310316268,397.94490504199996,105.550887454
60,62950.04394838956,596.517495788,105.50368331433333
61,118643.18541044497,1010.410582745,117.6668488508
62,147514.30859140016,1010.410582745,146.3411213544
63,147641.8094715164,1010.410582745,146.46819817579998
64,0.0,0.0,
65,0.0,0.0,
66,0.0,0.0,
67,58415.752656134595,458.660521819,127.36163213799999
68,26618.381057459792,458.660521822,58.035038532899996
69,36671.53072857165,618.607256413,59.9037579771
70,45925.545385826445,758.866631284,61.466861255800005
71,90195.98392480527,1542.987861268,59.53242432724285
72,91723.91864651004,1542.987861261,60.51344137270001
73,92285.5611259903,1504.4699202482002,61.21151380499
74,69094.4182030655,1085.2194244112,63.7370797450875
75,69333.62164637083,1085.2194244057,63.955909202487504
76,92509.5922470666,2032.6636328973998,46.143565882772734
77,80201.7174429346,2030.5259877169,40.24887850020909
78,81383.15081901556,2023.2700810052002,40.95154045996364
79,73435.25305685331,1323.4151021712,56.984765709899996
80,90881.0475176339,1198.0324540331999,77.84842310941667
81,116587.59572360711,1477.6623197999,80.10229322482857
82,80040.91496421068,966.0931898862,82.17340341623333
83,34589.87372639191,902.9793224957999,38.02340455925
84,34743.90478671732,902.979322522,38.1954800677
85,52456.300028766425,1387.5323282716,38.057828439671425
86,70725.71346380384,1878.37636893,37.345291551749995
87,71035.14186724002,1878.37636893,37.5108787895
