MeanPointLon,MeanPointLat,StartPointLat,StartPointLon,EndPointLat,EndPointLon,Length_km,LeftPlate,RightPlate,PlateID,Time_Ma,Plate_Velocity
-44.6688392596,64.9677364439,64.869405062,-44.2161712715,65.0660678258,-45.1215072478,47.8806740397,101,102,0,33,0.727184933451
-43.0406073991,66.542856558,66.1479611737,-43.7545770051,66.9377519423,-42.3266377932,108.194498359,101,102,0,33,0.723469598744
-42.1076500262,69.5043208864,69.2080379838,-41.7826762102,69.800603789,-42.4326238422,70.5814441795,101,102,0,33,0.730336376288
-44.7078011301,73.0960199021,72.8481827841,-43.7917096258,73.3438570202,-45.6238926345,80.9073140041,101,102,0,33,0.707488820161
-46.2595592038,61.9102176077,61.8939195573,-46.2996632045,61.9265156581,-46.2194552032,5.54728506714,101,102,0,33,0.728266779136
-35.8083300155,56.7857813201,56.4637075139,-35.1946080716,57.1078551263,-36.4220519594,103.533385634,101,102,0,33,0.952310706214
-36.7925284517,57.1647557144,57.1078551263,-36.4220519594,57.2216563025,-37.163004944,46.4314344471,101,102,0,33,0.925909192284
-37.9066689678,57.2508711657,57.2216563025,-37.163004944,57.2800860289,-38.6503329915,89.6999703522,101,102,0,33,0.914376043083
-39.0469168248,57.5611979823,57.2800860289,-38.6503329915,57.8423099358,-39.4435006581,78.3978541635,101,102,0,33,0.893768773919
-39.862822302,58.1972119296,57.8423099358,-39.4435006581,58.5521139235,-40.2821439459,92.9745279417,101,102,0,33,0.874481589584
-40.6209475549,58.8462164269,58.5521139235,-40.2821439459,59.1403189303,-40.9597511638,76.1390250097,101,102,0,33,0.852610452961
-41.4785951589,59.5005469397,59.1403189303,-40.9597511638,59.8607749491,-41.9974391539,99.2309167094,101,102,0,33,0.835016565877
-42.3270264395,60.1050929787,59.8607749491,-41.9974391539,60.3494110084,-42.656613725,65.4726634026,101,102,0,33,0.811102365312
-43.2895932869,60.6034830481,60.3494110084,-42.656613725,60.8575550878,-43.9225728487,89.2548403579,101,102,0,33,0.795772046598
-44.3263967195,61.0306734704,60.8575550878,-43.9225728487,61.203791853,-44.7302205903,58.0873278905,101,102,0,33,0.772325451425
-45.4004801851,61.4468193679,61.203791853,-44.7302205903,61.6898468827,-46.0707397798,89.4237512099,101,102,0,33,0.757261364217
-46.1852014921,61.79188322,61.6898468827,-46.0707397798,61.8939195573,-46.2996632045,25.6844165305,101,102,0,33,0.733601423177
-44.29856695,64.8933227195,64.7942944655,-43.8480010077,64.9923509735,-44.7491328924,47.8806740388,101,102,0,34,0.819450392535
-42.6609214711,66.4659572996,66.0721378806,-43.3764195176,66.8597767187,-41.9454234246,108.194498358,101,102,0,34,0.815201454003
-41.6994692971,69.4260014604,69.1292401383,-41.3792476219,69.7227627825,-42.0196909723,70.5814441785,101,102,0,34,0.822333631671
-44.2362469727,73.0215951352,72.7723512116,-43.3285617351,73.2708390589,-45.1439322104,80.9073140034,101,102,0,34,0.796167855981
-45.909065123,61.8383001927,61.8220654736,-45.9491904863,61.8545349117,-45.8689397598,5.54728506145,101,102,0,34,0.820804134913
-35.5112298888,56.6986888209,56.3758033765,-34.9003487252,57.0215742653,-36.1221110524,103.533385633,101,102,0,34,1.06898447143
-36.4914686431,57.0789747718,57.0215742653,-36.1221110524,57.1363752783,-36.8608262337,46.4314344456,101,102,0,34,1.03975314259
-37.602654887,57.1666152972,57.1363752783,-36.8608262337,57.1968553162,-38.3444835403,89.6999703514,101,102,0,34,1.02697847152
-38.7387958073,57.4785245307,57.1968553162,-38.3444835403,57.7601937451,-39.1331080743,78.3978541626,101,102,0,34,1.0041459165
-39.5496478663,58.1156931829,57.7601937451,-39.1331080743,58.4711926206,-39.9661876583,92.9745279409,101,102,0,34,0.982790463089
-40.3026192907,58.7657840517,58.4711926206,-39.9661876583,59.0603754827,-40.6390509232,76.1390250088,101,102,0,34,0.958572888747
