Time_(Ma),Seafloor_prod_(km2),Ridge_length_(km),Mean_spreading_rate_(km/Ma)
33,10042.32994420452,1227.4413292984398,8.079577930841765
34,11294.981887811335,1227.44132927695,9.089281902194116
35,11434.908263299963,1227.44132925275,9.203783197833529
36,11574.693873896966,1227.44132927957,9.31817012906294
37,11714.327875755544,1227.4413292688,9.432434004641765
38,11853.799559120327,1227.44132925645,9.5465662357
39,11993.098314084707,1227.44132928378,9.660558309165882
40,12132.213627774452,1227.44132926822,9.774401786597059
41,12247.935533901704,1227.4413292883,9.869096607908237
42,14031.947176163556,1367.88655084083,10.070551216816668
43,14161.292254405691,1367.88655082193,10.165724334178332
44,14968.263808179396,1445.84911027563,10.178309290876841
45,15104.270040814577,1445.84911025233,10.272973396898946
46,15240.149924067395,1445.8491102842697,10.367553716760526
47,19377.834807195748,1601.72544537727,11.968390454033331
48,60237.621785623334,2194.0591802598,27.423902239711108
49,54309.40508358228,1908.4908793720697,28.489032172488006
50,63792.97510186525,1819.9873309889301,35.19914405117391
51,62979.49815713171,1819.98733095748,34.75318437745653
52,65290.949477925205,1909.1971284473798,34.33673780570833
53,41915.228444086424,1872.82120323683,22.652954617416
54,48303.546839661685,2361.3136080997997,20.591845959196668
55,46600.445027470996,2371.9821566295,19.73860144212414
56,39968.3145492197,2824.2877249086,14.25039596593
57,39999.24497842726,2825.1147196322995,14.255727528314997
58,40103.99695183645,2826.0807811985,14.26400419098
59,40142.749790052134,2827.0381271795,14.273612431970003
60,40142.0765204556,2824.6877555447,14.283089148010001
