Time_(Ma),Seafloor_prod_(km2),Ridge_length_(km),Mean_spreading_rate_(km/Ma)
25,42240.80012074702,2879.7612191396997,14.912124162927777
26,46016.376034751716,3122.46193680805,14.365796112629413
27,46544.29033975651,3001.3978953349697,15.13140115763
28,49715.53831663818,3066.1989520049497,15.736732176707935
29,49320.41795756348,3051.4273082650097,15.800506359939064
30,49609.33603165344,3054.3456818899604,15.863959567120315
31,49884.70788617685,3056.9703408841,15.9203912713125
32,50165.879441773126,3059.2884571909503,15.978722154518751
33,47460.62056645787,2873.29950010733,16.141322674818134
34,50332.55436227521,2871.6432662164502,17.261725711611433
35,52156.07774382586,2967.87875916764,17.28016792690564
36,52452.67856898096,2983.672999558274,17.186692259913887
37,52748.24687178218,2999.4333659128333,17.180622612150003
38,53042.91829050674,3015.17068116311,17.17442106948194
39,53338.42655404229,3030.8327057254,17.168089118745836
40,58756.60831176878,2967.70665746072,20.666761655066672
41,51725.01583578892,2575.09054347086,21.15382592003871
42,52607.670947316205,2621.4471832699096,21.09720687792419
43,53156.93537805851,2642.40047183714,21.204210640289062
44,54260.84793370511,2617.3016160799502,21.67613322274936
45,54395.93246901463,2625.18041487771,21.783829297131252
46,55041.00375651368,2652.2364517726996,21.798193488067902
47,56175.93913673356,2604.4754573723803,22.444037221973748
48,75847.04337212426,2613.08881300807,28.963084353008338
49,98159.04282304327,2604.8309332243903,39.05498052399041
50,209192.89100378726,2584.9736209967896,86.87316163790393
51,188862.4082136289,2577.90373712798,73.25980717305801
52,135046.17370467886,2580.50052631842,52.823158071540355
53,84779.94219323248,2582.9943918564304,32.27986278232807
54,66434.54287487322,2660.45732265,24.538134137365077
55,61325.488711231956,2660.2543353702004,22.658272280173012
