MeanPointLon,MeanPointLat,StartPointLat,StartPointLon,EndPointLat,EndPointLon,Length_km,LeftPlate,RightPlate,PlateID,Time_Ma,Plate_Velocity
-9.36624820677,-10.5031363943,-9.84043518085,-9.73218523869,-11.1658376077,-9.00031117484,167.698501318,701,201,0,102,5.09387584535
-8.95308095146,-11.6433602441,-11.1658376077,-9.00031117484,-12.1208828804,-8.90585072808,106.693440966,701,201,0,102,5.18221722587
-9.03652569867,-12.6429620491,-12.1208828804,-8.90585072808,-13.1650412177,-9.16720066927,119.517707148,701,201,0,102,5.23148071691
-10.0179413896,-14.1915358055,-13.1650412177,-9.16720066927,-15.2180303932,-10.8686821098,292.83467442,701,201,0,102,5.27427235915
-11.3104642189,-16.1722012611,-15.2180303932,-10.8686821098,-17.1263721291,-11.7522463279,232.230253464,701,201,0,102,5.3276016438
-12.100045144,-17.831604776,-17.1263721291,-11.7522463279,-18.536837423,-12.4478439601,173.259897558,701,201,0,102,5.39517594709
-12.2671228444,-19.2352667198,-18.536837423,-12.4478439601,-19.9336960166,-12.0864017287,159.891699149,701,201,0,102,5.44362404642
-11.9241536917,-20.7801963763,-19.9336960166,-12.0864017287,-21.626696736,-11.7619056548,191.251843819,701,201,0,102,5.51151559243
-11.8439627465,-22.6369320834,-21.626696736,-11.7619056548,-23.6471674307,-11.9260198383,225.296763976,701,201,0,102,5.58722777382
-12.0616904712,-24.4541649759,-23.6471674307,-11.9260198383,-25.2611625211,-12.1973611042,181.557519326,701,201,0,102,5.66238764742
-12.2918654416,-26.2737509684,-25.2611625211,-12.1973611042,-27.2863394158,-12.3863697791,225.976766423,701,201,0,102,5.71679206037
-13.0687950127,-28.2747501096,-27.2863394158,-12.3863697791,-29.2631608033,-13.7512202463,257.251590495,701,201,0,102,5.78301417195
-15.1241431696,-30.5743143177,-29.2631608033,-13.7512202463,-31.8854678322,-16.4970660928,392.554043037,701,201,0,102,5.82881952207
-16.9515438822,-32.7386952777,-31.8854678322,-16.4970660928,-33.5919227232,-17.4060216716,207.921313486,701,201,0,102,5.87838454187
-18.5541895693,-35.4134260548,-33.5919227232,-17.4060216716,-37.2349293864,-19.702357467,455.368845478,701,201,0,102,5.91787653401
-20.321943798,-39.4870236286,-37.2349293864,-19.702357467,-41.7391178709,-20.9415301291,511.991271712,701,201,0,102,5.99132697984
-21.4069027232,-42.7185137609,-41.7391178709,-20.9415301291,-43.697909651,-21.8722753173,230.694303623,701,201,0,102,6.07027912137
-21.9755100467,-43.8968976831,-43.697909651,-21.8722753173,-44.0958857151,-22.0787447762,47.2441667491,701,201,0,102,6.09459666919
-21.732858417,-46.5377131538,-44.0958857151,-22.0787447762,-48.9795405924,-21.3869720579,545.6034198,701,201,0,102,6.09888538963
-21.1471896669,-50.645235031,-48.9795405924,-21.3869720579,-52.3109294696,-20.907407276,371.971855817,701,201,0,102,6.1362012636
-9.42925350685,-10.6628458372,-9.99973108252,-9.79460505015,-11.3259605919,-9.06390196355,167.698501318,701,201,0,103,5.10017606026
-9.01719785954,-11.803535404,-11.3259605919,-9.06390196355,-12.2811102162,-8.97049375552,106.693440965,701,201,0,103,5.18827051026
-9.10186311042,-12.8030432957,-12.2811102162,-8.97049375552,-13.3249763751,-9.23323246532,119.517707148,701,201,0,103,5.23740163776
-10.0858445832,-14.350480712,-13.3249763751,-9.23323246532,-15.3759850488,-10.9384567011,292.83467442,701,201,0,103,5.28008464367
-11.381861417,-16.3296136919,-15.3759850488,-10.9384567011,-17.283242335,-11.8252661328,232.230253463,701,201,0,103,5.33330486816
-12.1743558864,-17.9880349226,-17.283242335,-11.8252661328,-18.6928275101,-12.52344564,173.259897557,701,201,0,103,5.40068313949
-12.3435491173,-19.3914859687,-18.6928275101,-12.52344564,-20.0901444274,-12.1636525946,159.891699149,701,201,0,103,5.44897823165
-12.0024525567,-20.9368476931,-20.0901444274,-12.1636525946,-21.7835509587,-11.8412525188,191.251843818,701,201,0,103,5.51661997587
-11.9248898228,-22.793682675,-21.7835509587,-11.8412525188,-23.8038143912,-12.0085271269,225.296763976,701,201,0,103,5.59203441284
-12.145597713,-24.610639928,-23.8038143912,-12.0085271269,-25.4174654647,-12.2826682992,181.557519326,701,201,0,103,5.6668776247
-12.3789061917,-26.4299325654,-25.4174654647,-12.2826682992,-27.4423996661,-12.4751440843,225.976766422,701,201,0,103,5.72103345187
-13.160239411,-28.429915121,-27.4423996661,-12.4751440843,-29.4174305759,-13.8453347377,257.251590495,701,201,0,103,5.78692376686
-15.2229151986,-30.726650974,-29.4174305759,-13.8453347377,-32.0358713721,-16.6004956595,392.554043037,701,201,0,103,5.83248063319
-17.0575410869,-32.8884197226,-32.0358713721,-16.6004956595,-33.7409680731,-17.5145865143,207.921313486,701,201,0,103,5.88174562355
-18.6691616232,-35.5606722274,-33.7409680731,-17.5145865143,-37.3803763817,-19.823736732,455.368845478,701,201,0,103,5.92097336185
