Time_(Ma),Seafloor_prod_(km2),Ridge_length_(km),Mean_spreading_rate_(km/Ma)
102,293108.20923775074,5096.8098777641,56.612777526079995
103,304655.30211257405,5282.013615315399,56.8774050567381
104,304775.8518941992,5281.040166580299,56.91536192585237
105,304895.70167626574,5280.0770243117995,56.95305880199523
106,304879.3533477068,5279.124211167,56.965709935404774
107,313562.2961236811,5450.6401698781,56.68091956305455
108,313589.13385989517,5450.2151675407995,56.696887641509086
109,313616.7105365477,5449.723423257001,56.7136892607682
110,313645.00385674066,5449.165191082,56.7313173639591
111,313673.9885399241,5448.540719830899,56.749764534186355
112,313703.6363494968,5447.850253160301,56.769022995459096
113,313733.9161602496,5447.0940295484,56.7890846218591
114,313764.7940141262,5446.2722823869,56.80994094333637
115,313789.27801144606,5445.271916863001,56.83158315388636
116,313729.4521035414,5442.8243166003,56.85400211388637
117,313669.25483167736,5440.2950062616,56.87719174223182
118,304729.7045233995,5263.904219890201,57.17772221986191
119,304675.61267222493,5261.5920878382,57.20018909338571
120,262026.23003364404,5259.2906164201,49.01743368491428
121,198948.61533719406,4963.8881865517,39.41662766567
122,198897.67641725208,4960.9525554377,39.432878760254994
123,198839.63579868313,4957.892575516599,39.448914036809995
124,198779.38900843862,4954.8102677324005,39.464733090355004
125,39151.621130895604,5076.9259103265995,7.364672601072
126,39227.820528277945,5073.9028733653,7.386593696603501
127,39303.61182358921,5070.8847218315,7.40844575939
128,39378.99443648275,5067.8714591261,7.430228372190001
129,39453.96781974908,5064.8630886765,7.4519411267035
130,39528.53145345119,5061.8596138916,7.473583622474
131,39600.17919971516,5058.8613190697,7.493602515309
132,39672.223504738984,5055.8679320815,7.5137334816535
