MeanPointLon,MeanPointLat,StartPointLat,StartPointLon,EndPointLat,EndPointLon,Length_km,LeftPlate,RightPlate,PlateID,Time_Ma,Plate_Velocity
13.2305060638,-56.2041038614,-56.3519218273,13.7703849337,-56.0562858954,12.6906271939,74.4349313604,802,501,0,124,3.60246999167
11.3803086313,-55.66759936,-56.0562858954,12.6906271939,-55.2789128246,10.0699900686,185.677382338,802,501,0,124,3.59640346041
8.45255781928,-55.5839011672,-55.8009623307,9.37810382992,-55.3668400036,7.52701180864,125.948567193,802,501,0,124,3.68645507858
5.27978134232,-56.3840263528,-56.5982964025,6.24334388374,-56.1697563032,4.31621880089,127.841039826,802,501,0,124,3.91860829088
-0.706493603781,-58.029354032,-58.6465842261,0.99444577909,-57.4121238379,-2.40743298665,242.76691492,802,501,0,124,4.38914053537
-3.31280828725,-57.1780790244,-57.4121238379,-2.40743298665,-56.944034211,-4.21818358784,120.907037181,802,501,0,124,4.44460261373
-5.66156373865,-56.836022234,-56.1228409014,-5.48109894534,-57.5492035666,-5.84202853196,160.116190414,201,701,0,124,5.11528538595
-5.0301060599,-57.2466188888,-56.944034211,-4.21818358784,-57.5492035666,-5.84202853196,118.617870056,802,201,0,124,4.0724597543
-8.44481173657,-58.3909740718,-57.5492035666,-5.84202853196,-59.2327445771,-11.0475949412,356.339372681,802,201,0,124,4.13126089303
-11.2102992814,-59.3386983567,-59.2327445771,-11.0475949412,-59.4446521362,-11.3730036215,29.9283296635,802,201,0,124,4.30055424817
-11.6128716238,-59.5597367182,-59.4446521362,-11.3730036215,-59.6748213001,-11.8527396261,37.2215869855,802,201,0,124,4.31485640022
-12.028698415,-59.7607363027,-59.6748213001,-11.8527396261,-59.8466513053,-12.2046572038,27.4486816461,802,201,0,124,4.33255846297
-12.4612985796,-59.9533821273,-59.8466513053,-12.2046572038,-60.0601129493,-12.7179399553,37.149028476,802,201,0,124,4.34552846035
-12.8845621279,-60.1392255954,-60.0601129493,-12.7179399553,-60.2183382416,-13.0511843004,25.4936617308,802,201,0,124,4.36286932793
-13.247060071,-60.3080396832,-60.2183382416,-13.0511843004,-60.3977411248,-13.4429358415,29.3858044728,802,201,0,124,4.37474421723
-13.689405352,-60.5276916914,-60.3977411248,-13.4429358415,-60.6576422581,-13.9358748624,39.5277513552,802,201,0,124,4.38834063533
-14.1260940383,-60.7527713974,-60.6576422581,-13.9358748624,-60.8479005366,-14.3163132142,29.5760110604,802,201,0,124,4.40648094803
-14.5305391009,-60.9287018266,-60.8479005366,-14.3163132142,-61.0095031166,-14.7447649876,29.3047848524,802,201,0,124,4.41995072156
-14.9575781349,-61.077370609,-61.0095031166,-14.7447649876,-61.1452381014,-15.1703912822,27.4171365163,802,201,0,124,4.43313337177
-15.4288398969,-61.2282235803,-61.1452381014,-15.1703912822,-61.3112090592,-15.6872885115,33.255326224,802,201,0,124,4.44526188646
-16.0441180031,-61.4050797244,-61.3112090592,-15.6872885115,-61.4989503896,-16.4009474947,43.3393636949,802,201,0,124,4.45989846398
-16.9344864468,-61.6273593203,-61.4989503896,-16.4009474947,-61.755768251,-17.468025399,63.2029114505,802,201,0,124,4.47850890251
-17.8762454744,-61.8788879548,-61.755768251,-17.468025399,-62.0020076585,-18.2844655498,50.7997811251,802,201,0,124,4.50517168725
-18.6788009794,-62.1369198587,-62.0020076585,-18.2844655498,-62.271832059,-19.073136409,50.7933593764,802,201,0,124,4.52679985616
-19.452909341,-62.3875174973,-62.271832059,-19.073136409,-62.5032029355,-19.832682273,46.8423151711,802,201,0,124,4.54831028312
-20.2647737776,-62.5994610353,-62.5032029355,-19.832682273,-62.6957191351,-20.6968652822,49.1309693793,802,201,0,124,4.56782942805
-21.2897161946,-62.8420149831,-62.6957191351,-20.6968652822,-62.9883108312,-21.882567107,68.4098541592,802,201,0,124,4.58765676354
-22.6080402925,-63.1405476739,-62.9883108312,-21.882567107,-63.2927845167,-23.3335134781,80.3694521951,802,201,0,124,4.61515332872
-23.6668821883,-63.3671870587,-63.2927845167,-23.3335134781,-63.4415896007,-24.0002508985,37.1248764632,802,201,0,124,4.64657315272
-24.6056344284,-63.6078722039,-63.4415896007,-24.0002508985,-63.774154807,-25.2110179584,70.3470537657,802,201,0,124,4.66096041914
-25.7147250395,-63.8994748308,-63.774154807,-25.2110179584,-64.0247948545,-26.2184321207,56.6163782343,802,201,0,124,4.68808635232
-26.5953274973,-64.107616887,-64.0247948545,-26.2184321207,-64.1904389195,-26.972222874,40.974531439,802,201,0,124,4.70947758355
-27.3738094131,-64.313808755,-64.1904389195,-26.972222874,-64.4371785904,-27.7753959522,47.4465586839,802,201,0,124,4.72468343051
-28.1356450111,-64.5199280228,-64.4371785904,-27.7753959522,-64.6026774552,-28.49589407,39.0705978504,802,201,0,124,4.74211041354
-28.8586169467,-64.6642418844,-64.6026774552,-28.49589407,-64.7258063136,-29.2213398234,37.1345847503,802,201,0,124,4.7562683576
-29.5224604791,-64.7828576304,-64.7258063136,-29.2213398234,-64.8399089471,-29.8235811349,31.2247221849,802,201,0,124,4.76941916352
-30.2486571901,-64.8423212896,-64.8399089471,-29.8235811349,-64.8447336322,-30.6737332454,40.1901678969,802,201,0,124,4.78042830726
-30.883532411,-64.8820259668,-64.8447336322,-30.6737332454,-64.9193183015,-31.0933315766,21.4715303422,802,201,0,124,4.79281506761
-31.1316029648,-64.926034432,-64.9193183015,-31.0933315766,-64.9327505626,-31.1698743531,3.90394940517,802,201,0,124,4.80023145515
-31.2081587277,-64.9394696985,-64.9327505626,-31.1698743531,-64.9461888343,-31.2464431023,3.90366515864,802,201,0,124,4.80157411406
-31.2847800932,-64.9528638589,-64.9461888343,-31.2464431023,-64.9595388836,-31.3231170841,3.9028344363,802,201,0,124,4.80291509091
-31.3615068512,-64.9661697982,-64.9595388836,-31.3231170841,-64.9728007128,-31.3998966182,3.90205103725,802,201,0,124,4.8042538078
-31.4383833395,-64.9793941495,-64.9728007128,-31.3998966182,-64.9859875863,-31.4768700607,3.90570527703,802,201,0,124,4.80559027969
-31.7078697828,-64.9787021726,-64.9859875863,-31.4768700607,-64.9714167589,-31.938869505,21.7883531062,802,201,0,124,4.80692601525
-32.2439556511,-65.0034515531,-64.9714167589,-31.938869505,-65.0354863473,-32.5490417972,29.5419255231,802,201,0,124,4.81324987086
-33.045971566,-65.0776537464,-65.0354863473,-32.5490417972,-65.1198211456,-33.5429013349,47.5030028191,802,201,0,124,4.82301658645
-33.9583354885,-65.1276178734,-65.1198211456,-33.5429013349,-65.1354146012,-34.3737696421,38.8968405524,802,201,0,124,4.8383929672
-35.0600122758,-65.1058510715,-65.1354146012,-34.3737696421,-65.0762875419,-35.7462549094,64.5759163947,802,201,0,124,4.85021715453
-37.5494339949,-64.9145273935,-65.0762875419,-35.7462549094,-64.7527672451,-39.3526130804,173.754272138,802,201,0,124,4.86831879011
-39.7681457495,-64.6645459162,-64.7527672451,-39.3526130804,-64.5763245872,-40.1836784185,44.143110137,802,201,0,124,4.91340448684
-43.5218623964,-64.0932533152,-64.5763245872,-40.1836784185,-63.6101820431,-46.8600463743,341.488685671,802,201,0,124,4.92264427544
-5.73183513589,-56.8689217998,-56.2152586274,-5.56515351899,-57.5225849723,-5.89851675279,146.772793314,201,701,0,125,1.24449122296
14.0119113652,-56.1882418293,-56.4101472727,15.277884071,-55.9663363858,12.7459386594,164.2448128,801,501,0,125,3.89932533003
12.6740209843,-55.9534035693,-55.9663363858,12.7459386594,-55.9404707528,12.6021033091,9.40495650928,801,501,0,125,3.96785707004
11.9461580889,-55.8178073585,-55.9404707528,12.6021033091,-55.6951439642,11.2902128687,86.3759065001,801,501,0,125,3.97201751192
10.0215666177,-55.9126765129,-56.0789004516,10.750294593,-55.7464525743,9.29283864252,98.0605555387,801,501,0,125,4.06056178788
6.89161425656,-56.404582196,-56.6564576796,7.86367401113,-56.1527067124,5.919554502,132.075443915,801,501,0,125,4.22354864315
0.888059735321,-58.2918944844,-58.750458436,2.44541840783,-57.8333305328,-0.669298937184,208.624586507,801,501,0,125,4.57586597551
-1.41882683169,-57.5798086439,-57.8333305328,-0.669298937184,-57.326286755,-2.16835472619,105.660697229,801,501,0,125,4.6639063431
-2.97140858349,-57.0238930225,-57.326286755,-2.16835472619,-56.72149929,-3.7744624408,118.195624932,801,501,0,125,4.70858697201
-4.83648959679,-57.1220421311,-56.72149929,-3.7744624408,-57.5225849723,-5.89851675279,156.108095069,802,201,0,125,5.33172315865
