Time_(Ma),Seafloor_prod_(km2),Ridge_length_(km),Mean_spreading_rate_(km/Ma)
10,39584.56216513235,646.487358268,61.34760614465
11,36403.412311380445,646.0106775475999,56.463117141350004
12,36291.415967767796,644.0779651094,56.45645294022499
13,44640.41600468628,787.9554608115,56.76505828764
14,44519.53252975026,785.8788174626,56.75845636842
15,44394.39333760775,783.730230354,56.75146508698
16,46435.17308701557,820.6067241558999,56.744085312600006
17,46428.29691692702,820.6067241592,56.736317916820006
18,35005.7018971855,611.3107707211,57.303732852159996
19,35001.43279060787,611.3107707186,57.2969122871
20,36360.84989606093,611.3107707196,59.52321195162
21,36521.21666766488,611.3107708256,59.78581595036
22,36530.88596995529,611.3107708315999,59.80163260188
23,36540.40957070895,611.3107708322,59.81721186812
24,36549.78794430077,611.3107708314001,59.83255451362
25,111353.91541340631,4007.8190183354,22.37363525408837
26,95315.98525634507,3915.4871180571504,24.15904902990156
27,117817.12921246662,3990.83385992687,27.348265099225003
28,255857.84980336306,5831.46038490315,31.163986960837203
29,277120.96118192107,5967.42304129661,32.47555307312273
30,274087.2627154571,5970.34141489136,32.20567975885
31,244720.24302279516,5972.9660738541,29.42748087355682
32,245023.03957787424,5975.28419020735,29.472748580213636
33,232813.5311409374,7016.736562442671,24.904698397921802
34,217871.41680793886,7015.080330050199,23.407573112585585
35,226733.9275160365,7320.10979295349,22.79523606824743
36,227261.52279487404,7335.904033369445,22.707142318757
37,233014.61038627516,7442.420610672432,23.040496237519008
38,159282.8677410691,7211.69444439636,18.805416034975455
39,153066.98144105857,7227.356468971379,18.388738891629274
40,158669.9736030969,7164.23042069004,20.700221399793925
41,63972.95136969063,3802.53187275916,18.725466447808103
42,66639.61812347977,3989.33373411074,18.616209354175002
43,67318.2276324642,4010.28702265907,18.781128280411096
44,69229.1117418845,4063.15072635558,19.44696327677408
45,69500.20250982919,4071.02952513004,19.574675134460403
46,70281.15368058108,4098.08556205697,19.6263719315195
47,75553.77394392932,4206.20090274965,20.265932448441582
48,136084.66515774757,4807.14799326787,28.543307413018173
49,152468.44790662557,4513.32181259646,36.359585536362246
50,272985.86610565253,4404.96095198572,70.81231833392027
51,251841.9063707606,4397.89106808546,61.12758355252603
52,200337.1231826041,4489.6976547658005,47.345700214997535
53,126695.1706373189,4455.81559509326,29.344829805220737
54,114738.08971453492,5021.770930749801,23.26513795085913
55,107925.93373870294,5032.236491999699,21.73794125513587
56,39968.3145492197,2824.2877249086,14.25039596593
57,39999.24497842726,2825.1147196322995,14.255727528314997
58,40103.99695183645,2826.0807811985,14.26400419098
59,82161.38082167893,3224.9830322215,22.571546524881818
60,103092.12046884515,3421.2052513326994,26.181427517530437
61,118643.18541044497,1010.410582745,117.6668488508
62,147514.30859140016,1010.410582745,146.3411213544
63,147641.8094715164,1010.410582745,146.46819817579998
64,0.0,0.0,
65,0.0,0.0,
66,0.0,0.0,
